"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
-0.020000	1.040605	-2.060807	-2.045470	3.081008	3.040293
-0.010000	1.020151	-2.030201	-2.015067	3.040251	3.000042
0.000000	1.000000	-2.000000	-1.985066	3.000000	2.960290
0.010000	0.980149	-1.970199	-1.955464	2.960249	2.921033
0.020000	0.960595	-1.940793	-1.926253	2.920992	2.882263
0.030000	0.941332	-1.911778	-1.897431	2.882223	2.843976
0.040000	0.922358	-1.883147	-1.868991	2.843937	2.806166
0.050000	0.903668	-1.854897	-1.840929	2.806127	2.768826
0.060000	0.885259	-1.827023	-1.813241	2.768788	2.731952
0.070000	0.867126	-1.799520	-1.785921	2.731914	2.695538
0.080000	0.849267	-1.772383	-1.758966	2.695500	2.659577
0.090000	0.831677	-1.745609	-1.732370	2.659540	2.624065
0.100000	0.814354	-1.719191	-1.706130	2.624029	2.588997
0.110000	0.797292	-1.693127	-1.680240	2.588961	2.554367
0.120000	0.780490	-1.667410	-1.654696	2.554331	2.520170
0.130000	0.763943	-1.642038	-1.629494	2.520134	2.486400
0.140000	0.747648	-1.617006	-1.604630	2.486365	2.453053
0.150000	0.731602	-1.592310	-1.580100	2.453018	2.420123
0.160000	0.715801	-1.567945	-1.555898	2.420088	2.387605
0.170000	0.700242	-1.543907	-1.532022	2.387571	2.355496
0.180000	0.684922	-1.520192	-1.508467	2.355462	2.323788
0.190000	0.669837	-1.496796	-1.485230	2.323755	2.292479
0.200000	0.654985	-1.473715	-1.462305	2.292446	2.261562
0.210000	0.640362	-1.450946	-1.439689	2.261530	2.231034
0.220000	0.625965	-1.428483	-1.417379	2.231002	2.200890
0.230000	0.611791	-1.406324	-1.395370	2.200858	2.171124
0.240000	0.597837	-1.384465	-1.373659	2.171093	2.141733
0.250000	0.584101	-1.362901	-1.352241	2.141702	2.112712
0.260000	0.570578	-1.341630	-1.331114	2.112681	2.084056
0.270000	0.557267	-1.320647	-1.310274	2.084026	2.055762
0.280000	0.544164	-1.299948	-1.289716	2.055732	2.027824
0.290000	0.531267	-1.279531	-1.269438	2.027794	2.000238
0.300000	0.518573	-1.259391	-1.249435	2.000209	1.973001
0.310000	0.506078	-1.239525	-1.229705	1.972972	1.946108
0.320000	0.493781	-1.219930	-1.210244	1.946079	1.919554
0.330000	0.481679	-1.200603	-1.191049	1.919526	1.893337
0.340000	0.469768	-1.181539	-1.172115	1.893309	1.867451
0.350000	0.458047	-1.162735	-1.153441	1.867423	1.841892
0.360000	0.446513	-1.144189	-1.135022	1.841866	1.816658
0.370000	0.435163	-1.125897	-1.116855	1.816631	1.791743
0.380000	0.423994	-1.107855	-1.098938	1.791717	1.767144
0.390000	0.413005	-1.090062	-1.081267	1.767118	1.742858
0.400000	0.402192	-1.072512	-1.063838	1.742832	1.718880
0.410000	0.391554	-1.055204	-1.046649	1.718854	1.695206
0.420000	0.381087	-1.038134	-1.029697	1.695181	1.671833
0.430000	0.370790	-1.021299	-1.012979	1.671808	1.648758
0.440000	0.360660	-1.004697	-0.996491	1.648733	1.625976
0.450000	0.350695	-0.988324	-0.980231	1.625952	1.603484
0.460000	0.340893	-0.972177	-0.964197	1.603460	1.581279
0.470000	0.331251	-0.956253	-0.948384	1.581256	1.559357
0.480000	0.321767	-0.940551	-0.932790	1.559334	1.537715
0.490000	0.312439	-0.925066	-0.917413	1.537692	1.516349
0.500000	0.303265	-0.909796	-0.902250	1.516327	1.495256
0.510000	0.294243	-0.894738	-0.887297	1.495234	1.474433
0.520000	0.285370	-0.879890	-0.872553	1.474411	1.453876
0.530000	0.276644	-0.865249	-0.858014	1.453854	1.433582
0.540000	0.268064	-0.850812	-0.843678	1.433561	1.413548
0.550000	0.259627	-0.836577	-0.829543	1.413527	1.393771
0.560000	0.251332	-0.822541	-0.815605	1.393750	1.374248
0.570000	0.243176	-0.808701	-0.801862	1.374227	1.354975
0.580000	0.235157	-0.795056	-0.788313	1.354954	1.335949
0.590000	0.227274	-0.781601	-0.774953	1.335929	1.317168
0.600000	0.219525	-0.768336	-0.761782	1.317148	1.298628
0.610000	0.211907	-0.755258	-0.748795	1.298609	1.280327
0.620000	0.204419	-0.742363	-0.735992	1.280308	1.262262
0.630000	0.197059	-0.729651	-0.723369	1.262243	1.244429
0.640000	0.189825	-0.717118	-0.710925	1.244410	1.226826
0.650000	0.182716	-0.704762	-0.698657	1.226808	1.209451
0.660000	0.175729	-0.692581	-0.686562	1.209432	1.192299
0.670000	0.168864	-0.680572	-0.674639	1.192281	1.175370
0.680000	0.162117	-0.668734	-0.662886	1.175351	1.158659
0.690000	0.155489	-0.657065	-0.651299	1.158641	1.142164
0.700000	0.148976	-0.645561	-0.639877	1.142146	1.125883
0.710000	0.142577	-0.634221	-0.628619	1.125865	1.109813
0.720000	0.136291	-0.623043	-0.617520	1.109795	1.093951
0.730000	0.130115	-0.612024	-0.606581	1.093933	1.078294
0.740000	0.124050	-0.601164	-0.595798	1.078277	1.062841
0.750000	0.118092	-0.590458	-0.585170	1.062825	1.047589
0.760000	0.112240	-0.579906	-0.574694	1.047573	1.032535
0.770000	0.106493	-0.569506	-0.564368	1.032519	1.017677
0.780000	0.100849	-0.559255	-0.554192	1.017661	1.003013
0.790000	0.095307	-0.549152	-0.544161	1.002997	0.988539
0.800000	0.089866	-0.539195	-0.534276	0.988524	0.974255
0.810000	0.084523	-0.529381	-0.524533	0.974239	0.960156
0.820000	0.079278	-0.519709	-0.514932	0.960141	0.946242
0.830000	0.074128	-0.510178	-0.505469	0.946227	0.932510
